Date,Nest Number,Species,Latitude,Longitude,Disorientation direction,Turtles Disoriented 
7/12/2025,MNGB0712AAA1,Caretta caretta,25.97232019,-80.11836102,South,<10
7/17/2025,GB-N-061,Chelonia mydas,25.96108201,-80.11879625,North,11-50
7/19/2025,MNGB0719ATH1,Chelonia mydas,25.9710308,-80.11841552,South,50>
7/19/2025,GB-N-015,Caretta caretta,25.97004622,-80.11857016,West,11-50
7/20/2025,GB-N-016,Caretta caretta,25.96582863,-80.11855305,North,<10
7/29/2025,GB-N-027,Dermochelys coriacea,25.96654535,-80.118458,West,11-50
7/31/2025,GB-N-026,Caretta caretta,25.95853462,-80.11869022,North,<10
8/15/2025,GB-N-031,Caretta caretta,25.97251478,-80.1182652,South,50>
8/15/2025,GB-N-036,Chelonia mydas,25.974938,-80.118509,North,50>
10/3/2025,GB-N-064,Chelonia mydas,25.963034,-80.118775,West,11-50
6/29/2025,HO-N-003,Caretta caretta,25.9246276,-80.1208723,North,<10
07/01/2025,HO-N-006,Caretta caretta,25.92160982,-80.11904056,South,50>
7/7/2025,HO-N-012,Chelonia mydas,25.92104,-80.12088502,West,11-50
7/8/2025,HO-N-016,Caretta caretta,25.93229808,-80.12096,North,11-50
7/9/2025,HO-N-025,Caretta caretta,25.95599669,-80.12026511,North,<10
7/9/2025,HO-N-018,Caretta caretta,25.92217097,-80.11875837,West,50>
7/12/2025,HO-N-023,Dermochelys coriacea,25.95190699,-80.12091468,West,11-50
7/18/2025,HO-N-027,Caretta caretta,25.90404622,-80.11883196,North,<10
7/19/2025,HO-N-036,Dermochelys coriacea,25.95008415,-80.1214855,South,<10
7/20/2025,HO-N-028,Caretta caretta,25.92311428,-80.118856,West,50>
7/20/2025,HO-N-029,Caretta caretta,25.92847898,-80.12111888,North,50>
7/21/2025,HO-N-031,Chelonia mydas,25.93797599,-80.12064754,South,11-50
7/22/2025,HO-N-109,Chelonia mydas,25.90828762,-80.11953992,West,<10
7/22/2025,HO-N-035,Caretta caretta,25.95210053,-80.12109056,North,50>
7/22/2025,HO-N-032,Caretta caretta,25.93994647,-80.11883638,South,11-50
